sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
GBS20d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		20a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl311	adult	Mus musculus	2	II
GBS21d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		21a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl310	adult	Mus musculus	2	II
GBS22d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		22a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl309	adult	Mus musculus	5	V
GBS23d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		23a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl308	adult	Mus musculus	2	II
GBS24d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		24a						0	GBS								Clear	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl307	adult	Mus musculus	2	II
GBS25d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		25a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl306	adult	Mus musculus	4	IV
GBS26d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		26a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl305	adult	Mus musculus	2	II
GBS27d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	19.42857143	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		27a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl304	adult	Mus musculus	4	IV
GBS28d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	17.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		28a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl303	adult	Mus musculus	0	0
GBS29d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	17.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		29a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl302	adult	Mus musculus	0	0
