sample_name,f__Enterobacteriaceae; ; ,f__Lactobacillaceae; g__Lactobacillus; s__,f__Staphylococcaceae; g__Staphylococcus; s__succinus,f__Streptococcaceae; g__Streptococcus; s__,f__Lactobacillaceae; g__Lactobacillus; ,f__Enterococcaceae; g__Enterococcus; ,f__Moraxellaceae; g__Acinetobacter; ,f__Lactobacillaceae; g__Lactobacillus; s__helveticus,f__Streptococcaceae; g__Streptococcus; s__agalactiae,f__Lactobacillaceae; g__Lactobacillus; s__zeae,f__Micrococcaceae; g__Micrococcus; ,f__Xanthomonadaceae; g__Stenotrophomonas; s__geniculata,f__Corynebacteriaceae; g__Corynebacterium; s__,f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,f__Lactobacillaceae; g__Lactobacillus; s__iners,Other
HMBpt2d6m09,0.07703882,0,0.01143545,0,0,0,0.005115859,0,0.005416792,0,0,0,0,0.033704484,0,0.867288595
HMBpt2d6m10,0.943479553,0,0,0,0,0,0.00658202,0,0,0,0,0,0,0,0,0.049938426
HMBpt2d6m11,0,0.005915569,0.000268889,0.710137134,0,0.002957784,0.035224523,0,0.000537779,0,0.009411132,0,0.002151116,0.171820382,0,0.061575692
HMBpt2d6m12,0,0,0,0,0,0,0,0,0,0,0.448275862,0,0,0,0,0.551724138
M14,0,0,0.993927126,0,0,0,0,0,0,0,0,0,0.002699055,0,0,0.003373819
M15,0,0,0,0,0.971698113,0,0,0,0,0,0.028301887,0,0,0,0,0
M16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M17,0,0,0,0.099439062,0.899031107,0,0,0,0,0,0,0,0,0,0,0.001529832
M18,0.10483871,0,0.153225806,0,0,0,0.024193548,0,0,0,0.60483871,0,0.016129032,0,0,0.096774194
M19,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
M20,0,0,0,0,0.985530547,0,0,0,0,0,0.004823151,0,0,0,0,0.009646302
M21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75
M22,0,0,0,0,0.913043478,0,0,0,0,0,0.086956522,0,0,0,0,0
M23,0,0,0,0,0.743859649,0.238596491,0,0,0,0,0,0,0.007017544,0,0,0.010526316
